"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","주 출입구 접근로 설치여부","장애인 전용 주차구역 지정여부","주 출입구 높이차이 제거여부","출입구(문) 설치유무","복도","계단/승강기/경사로/휠체어리프트 유무","장애인용 대변기 설치여부","장애인용 소변기 설치여부","점자블록 설치여부","유도 및 안내설비 설치여부","경보 및 피난설비 설치여부"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002154","무학중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002155","성수중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","단순설치","적정설치","미설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002156","성원중학교","03","공립","N","","적정설치","적정설치","적정설치","단순설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002157","신양중학교","03","공립","N","","미설치","적정설치","단순설치","적정설치","적정설치","미설치","적정설치","적정설치","미설치","미설치","단순설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002158","옥정중학교","03","공립","N","","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002159","용곡중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 광진구","S010002160","자양중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치","미설치","적정설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002161","한양대학교사범대학부속중학교","03","사립","N","","적정설치","적정설치","단순설치","미설치","미설치","미설치","단순설치","미설치","미설치","미설치","미설치"
"서울특별시교육청","서울특별시성동광진교육지원청","서울특별시 성동구","S010002162","행당중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","적정설치","미설치","미설치","미설치"
"서울특별시교육청","서울특별시성북강북교육지원청","서울특별시 강북구","S010002263","강북중학교","03","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치"
